pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_met,st_meterr1,st_meterr2,st_metlim
4.680000,,,0,-0.380,0.090,-0.090,0
0.293000,,,0,0.080,0.060,-0.060,0
2.770000,,,0,-0.550,0.100,-0.100,0
3.770000,,,0,-0.550,0.100,-0.100,0
4.870000,,,0,-0.550,0.100,-0.100,0
4.870000,,,0,-0.550,0.100,-0.100,0
3.210000,,,0,-0.550,0.100,-0.100,0
1.650000,,,0,-0.280,,,0
4.810000,,,0,0.230,0.100,-0.100,0
12.600000,,,0,0.230,0.100,-0.100,0
3.760000,,,0,0.230,0.100,-0.100,0
2.410000,,,0,0.230,0.100,-0.100,0
24.700000,,,0,,,,
3.360000,,,0,,,,
1.980000,,,0,,,,
1.930000,,,0,-0.150,0.090,-0.090,0
1.170000,,,0,0.063,0.078,-0.078,0
1.240000,,,0,0.063,0.078,-0.078,0
1.400000,,,0,-0.140,0.090,-0.090,0
4.540000,,,0,0.080,0.160,-0.160,0
0.433000,,,0,-0.300,0.200,-0.200,0
0.585000,,,0,0.220,0.170,-0.170,0
0.447000,,,0,0.220,0.170,-0.170,0
3.600000,,,0,-0.220,,,0
1.690000,,,0,0.213,0.064,-0.064,0
0.455000,,,0,0.213,0.064,-0.064,0
2.370000,,,0,0.213,0.064,-0.064,0
1.330000,,,0,0.213,0.064,-0.064,0
3.470000,,,0,-0.060,0.080,-0.080,0
2.190000,,,0,-0.060,0.080,-0.080,0
1.680000,,,0,,,,
0.415000,,,0,-0.130,0.190,-0.190,0
1.060000,,,0,0.140,0.080,-0.080,0
1.830000,,,0,0.050,0.040,-0.040,0
8.580000,,,0,,,,
7.190000,0.810000,-0.760000,0,-0.260,0.090,-0.090,0
3.700000,,,1,-0.260,0.090,-0.090,0
2.340000,0.620000,-0.590000,0,-0.260,0.090,-0.090,0
8.222423,1.724056,-1.326197,0,0.350,0.100,-0.100,0
0.921000,,,0,-0.350,0.010,-0.010,0
3.350000,,,0,-0.060,0.010,-0.010,0
6.920000,,,0,0.100,0.130,-0.130,0
1.120000,,,0,,,,
0.439000,,,0,,,,
1.460000,,,0,0.060,0.090,-0.090,0
2.750000,,,0,0.130,0.160,-0.160,0
2.450000,,,0,-0.230,0.160,-0.160,0
0.282000,0.010000,-0.009000,0,0.130,0.008,-0.008,0
1.680000,0.160000,-0.160000,0,0.310,0.050,-0.050,0
1.710000,,,0,0.310,0.050,-0.050,0
0.319200,0.016000,-0.016000,0,-0.290,0.050,-0.050,0
0.362000,0.028000,-0.028000,0,0.460,0.070,-0.070,0
13.400000,,,0,0.460,0.070,-0.070,0
1.560000,0.230000,-0.230000,0,0.110,,,0
1.960000,0.220000,-0.220000,0,0.220,,,0
2.420000,0.350000,-0.350000,0,0.170,0.080,-0.080,0
0.640000,0.050000,-0.050000,0,0.000,,,0
2.640000,,,0,0.051,0.028,-0.028,0
0.250000,0.040000,-0.040000,0,0.100,0.080,-0.080,0
0.250000,0.040000,-0.040000,0,0.230,0.080,-0.080,0
7.290000,1.120000,-1.120000,0,0.180,,,0
13.780000,1.500000,-1.500000,0,0.350,0.080,-0.080,0
4.600000,1.500000,-1.000000,0,0.010,,,0
2.140000,0.280000,-0.280000,0,0.240,,,0
1.406000,0.129000,-0.129000,0,0.150,,,0
0.440000,0.070000,-0.070000,0,-0.160,,,0
0.483000,0.059000,-0.051000,0,0.294,0.080,-0.080,0
0.400000,0.100000,-0.100000,0,-0.040,,,0
0.760000,0.170000,-0.130000,0,0.300,0.030,-0.030,0
0.440000,0.090000,-0.090000,0,0.120,0.080,-0.080,0
0.790000,0.170000,-0.140000,0,0.210,,,0
0.855000,0.071000,-0.071000,0,0.270,,,0
0.309000,0.027000,-0.025000,0,0.130,,,0
2.180000,1.240000,-0.930000,0,0.150,,,0
0.108000,0.018000,-0.017000,0,-0.160,0.080,-0.080,0
0.200000,0.030000,-0.030000,0,0.050,,,0
2.500000,0.750000,-0.600000,0,0.220,0.040,-0.040,0
0.550000,0.140000,-0.110000,0,0.110,0.080,-0.080,0
1.175000,0.078000,-0.078000,0,0.250,0.090,-0.090,0
0.890000,0.190000,-0.190000,0,0.030,0.100,-0.100,0
0.590000,0.160000,-0.160000,0,0.060,0.100,-0.100,0
0.190000,0.040000,-0.040000,0,0.190,0.100,-0.100,0
0.403000,0.065000,-0.049000,0,0.240,0.080,-0.080,0
0.150000,0.010000,-0.010000,0,0.220,,,0
0.204000,0.006000,-0.008800,0,0.210,,,0
0.610000,0.340000,-0.150000,0,0.270,0.080,-0.080,0
0.390000,0.050000,-0.050000,0,0.200,0.070,-0.070,0
0.230000,0.040000,-0.040000,0,0.330,0.100,-0.100,0
3.180000,,,0,0.330,0.100,-0.100,0
0.380000,0.090000,-0.090000,0,0.070,0.100,-0.100,0
0.280000,0.100000,-0.100000,0,0.300,0.100,-0.100,0
0.750000,0.170000,-0.170000,0,0.070,,,0
0.642000,0.120000,-0.097000,0,0.240,,,0
0.780000,0.110000,-0.110000,0,-0.180,0.080,-0.080,0
0.178000,0.024000,-0.024000,0,0.270,0.080,-0.080,0
0.980000,0.210000,-0.210000,0,0.280,0.080,-0.080,0
0.800000,0.150000,-0.150000,0,0.000,0.080,-0.080,0
1.118000,0.098000,-0.098000,0,-0.127,0.080,-0.080,0
0.435000,0.077000,-0.077000,0,-0.030,0.080,-0.080,0
0.750000,0.110000,-0.120000,0,0.000,,,0
0.332000,,,0,-0.250,,,0
0.194000,0.024000,-0.024000,0,-0.224,0.057,-0.057,0
1.347000,0.081000,-0.081000,0,0.217,0.049,-0.049,0
0.558000,0.047000,-0.047000,0,-0.130,,,0
0.164000,0.013000,-0.013000,0,0.037,0.037,-0.037,0
1.800000,0.200000,-0.200000,0,0.194,0.060,-0.060,0
0.770000,0.110000,-0.110000,0,0.414,0.090,-0.090,0
0.540000,0.055000,-0.055000,0,0.251,0.061,-0.061,0
0.144000,0.046000,-0.035000,0,-0.113,0.027,-0.056,0
0.096000,0.025000,-0.025000,0,0.100,0.080,-0.080,0
0.242000,0.045000,-0.061000,0,0.035,0.080,-0.080,0
0.052000,0.039000,-0.028000,0,-0.080,0.050,-0.050,0
0.727000,0.051000,-0.051000,0,-0.059,0.036,-0.036,0
1.020000,0.180000,-0.160000,0,-0.069,0.058,-0.075,0
0.712000,0.015000,-0.015000,0,0.260,,,0
1.540000,,,0,-0.059,0.075,-0.088,0
0.568000,0.048000,-0.048000,0,0.010,,,0
0.342000,0.057000,-0.048000,0,0.120,0.200,-0.200,0
1.030000,0.250000,-0.250000,0,-0.060,0.120,-0.120,0
0.700000,0.150000,-0.150000,0,0.150,0.100,-0.100,0
0.315000,0.037000,-0.037000,0,0.030,0.160,-0.160,0
1.120000,0.140000,-0.140000,0,-0.100,0.050,-0.050,0
0.377000,0.058000,-0.058000,0,0.050,0.060,-0.060,0
1.191000,0.098000,-0.140000,0,0.330,0.060,-0.060,0
1.970000,0.240000,-0.240000,0,0.000,0.050,-0.050,0
1.860000,0.940000,-0.480000,0,-0.100,0.050,-0.050,0
3.500000,0.850000,-0.510000,0,0.300,0.030,-0.030,0
1.116900,0.216000,-0.216000,0,0.280,0.080,-0.080,0
1.050000,0.140000,-0.140000,0,0.150,0.050,-0.050,0
3.890000,0.450000,-0.450000,0,0.000,0.040,-0.040,0
0.290000,0.300000,-0.100000,0,0.280,0.070,-0.070,0
1.030000,0.150000,-0.150000,0,-0.229,0.058,-0.058,0
0.380000,0.100000,-0.100000,0,0.020,0.050,-0.050,0
0.153000,0.042000,-0.042000,0,-0.020,0.050,-0.050,0
0.180000,0.083000,-0.057000,0,0.090,0.040,-0.040,0
0.480000,0.110000,-0.110000,0,0.010,0.060,-0.060,0
0.411000,0.060000,-0.060000,0,0.160,0.080,-0.080,0
0.510000,0.070000,-0.070000,0,-0.157,0.070,-0.070,0
0.543000,0.076000,-0.076000,0,0.060,0.050,-0.050,0
0.243000,0.124000,-0.088000,0,0.000,0.070,-0.070,0
0.580000,0.160000,-0.160000,0,0.390,0.050,-0.050,0
0.790000,0.190000,-0.190000,0,0.290,0.050,-0.050,0
0.400000,0.190000,-0.130000,0,0.250,0.070,-0.070,0
0.484000,0.042000,-0.070000,0,0.210,0.060,-0.060,0
2.120000,0.200000,-0.200000,0,0.150,0.060,-0.060,0
0.550000,0.240000,-0.240000,0,0.051,0.029,-0.029,0
0.403000,0.071000,-0.071000,0,-0.102,0.043,-0.043,0
